time,latitude,longitude,depth,depth_class,mag,mag_class,place
2024-01-01 00:37:09.096,17.6625,145.4596,384.941,Deep,4.7,Light,"272 km N of Saipan, Northern Mariana Islands"
2024-01-01 00:54:44.947,-57.3045,-25.8967,55.881,Shallow,4.4,Light,South Sandwich Islands region
2024-01-01 00:59:19.656,-6.8599,107.1224,178.051,Intermediate,4.1,Light,"4 km SSW of Cianjur, Indonesia"
2024-01-01 01:43:14.869,-24.412,179.8704,513.317,Deep,4.6,Light,south of the Fiji Islands
2024-01-01 02:50:02.503,-7.2109,129.5277,87.814,Intermediate,4.2,Light,"Kepulauan Babar, Indonesia"
2024-01-01 03:58:30.343,8.9147,127.4797,10.0,Shallow,4.1,Light,"128 km E of Aras-asan, Philippines"
2024-01-01 04:49:01.244,44.4338,149.243,35.0,Shallow,4.5,Light,"139 km SE of Kuril’sk, Russia"
2024-01-01 05:08:43.543,-15.0626,167.4895,121.933,Intermediate,4.4,Light,"44 km E of Port-Olry, Vanuatu"
2024-01-01 05:19:00.363,-23.3645,-179.8743,540.187,Deep,4.5,Light,south of the Fiji Islands
2024-01-01 05:22:53.884,-7.8936,117.8591,10.0,Shallow,4.7,Light,"70 km NE of Pototano, Indonesia"
2024-01-01 07:06:05.477,37.4933,137.2491,10.0,Shallow,5.8,Moderate,"42 km NE of Anamizu, Japan"
2024-01-01 07:10:09.476,37.4874,137.271,10.0,Shallow,7.5,Major,"2024 Noto Peninsula, Japan Earthquake"
2024-01-01 07:18:41.584,37.1895,136.8272,10.0,Shallow,6.2,Strong,"8 km SW of Anamizu, Japan"
2024-01-01 07:27:28.747,37.3802,137.2254,10.0,Shallow,4.6,Light,"33 km ENE of Anamizu, Japan"
2024-01-01 07:27:36.058,44.6082,147.0332,166.808,Intermediate,4.2,Light,"93 km NNE of Shikotan, Russia"
2024-01-01 07:28:15.144,37.3496,136.8046,10.0,Shallow,4.6,Light,"15 km NNW of Anamizu, Japan"
2024-01-01 07:29:04.242,37.4638,137.2642,10.997,Shallow,4.7,Light,"41 km NE of Anamizu, Japan"
2024-01-01 07:32:19.623,37.6053,137.573,10.0,Shallow,4.2,Light,"68 km NNW of Itoigawa, Japan"
2024-01-01 07:32:43.786,37.3707,137.0978,13.909,Shallow,4.4,Light,"23 km NE of Anamizu, Japan"
2024-01-01 07:35:45.071,37.6244,137.7775,11.282,Shallow,4.3,Light,"65 km N of Itoigawa, Japan"
2024-01-01 07:39:49.268,37.4861,137.4519,10.0,Shallow,5.2,Moderate,"56 km ENE of Anamizu, Japan"
2024-01-01 07:42:43.430,37.4693,137.2483,9.896,Shallow,4.8,Light,"40 km NE of Anamizu, Japan"
2024-01-01 07:45:30.869,37.7823,137.7515,4.785,Shallow,4.7,Light,"59 km WSW of Sado, Japan"
2024-01-01 07:48:14.335,37.2779,136.8374,10.0,Shallow,4.8,Light,"7 km NW of Anamizu, Japan"
2024-01-01 07:52:43.251,-0.1092,123.6177,81.212,Intermediate,5.3,Moderate,"94 km SE of Gorontalo, Indonesia"
2024-01-01 07:53:28.520,37.6769,137.8121,8.826,Shallow,4.3,Light,"61 km SW of Sado, Japan"
2024-01-01 07:54:21.406,37.6242,137.5518,8.243,Shallow,4.7,Light,"70 km NNW of Itoigawa, Japan"
2024-01-01 07:56:18.757,37.4132,137.708,10.0,Shallow,4.4,Light,"44 km NNW of Itoigawa, Japan"
2024-01-01 07:56:47.661,37.2997,136.8875,10.0,Shallow,5.6,Moderate,"7 km N of Anamizu, Japan"
2024-01-01 08:02:01.200,20.6354,145.0047,10.0,Shallow,4.5,Light,"Maug Islands region, Northern Mariana Islands"
2024-01-01 08:02:44.840,37.5444,137.401,10.0,Shallow,5.0,Moderate,"56 km NE of Anamizu, Japan"
2024-01-01 08:07:10.627,37.1718,136.6149,10.0,Shallow,5.1,Moderate,"26 km WSW of Anamizu, Japan"
2024-01-01 08:10:47.718,37.85,137.7868,6.199,Shallow,4.3,Light,"53 km WSW of Sado, Japan"
2024-01-01 08:15:38.177,37.5918,137.3097,9.216,Shallow,4.5,Light,"53 km NE of Anamizu, Japan"
2024-01-01 08:17:46.634,37.5012,137.2009,10.0,Shallow,4.8,Light,"39 km NE of Anamizu, Japan"
2024-01-01 08:20:34.572,37.5869,137.6196,10.682,Shallow,4.3,Light,"64 km NNW of Itoigawa, Japan"
2024-01-01 08:22:10.846,37.4631,137.2239,10.0,Shallow,4.9,Light,"38 km NE of Anamizu, Japan"
2024-01-01 08:29:02.262,37.5787,137.5274,10.0,Shallow,4.7,Light,"66 km NNW of Itoigawa, Japan"
2024-01-01 08:42:04.871,37.6483,137.6044,10.0,Shallow,4.6,Light,"71 km NNW of Itoigawa, Japan"
2024-01-01 08:48:21.162,37.8651,137.5542,10.0,Shallow,4.5,Light,"72 km WSW of Sado, Japan"
2024-01-01 09:00:19.571,37.3695,137.7118,10.0,Shallow,4.1,Light,"39 km NNW of Itoigawa, Japan"
2024-01-01 09:03:48.859,37.5339,137.4185,10.0,Shallow,5.5,Moderate,"56 km NE of Anamizu, Japan"
2024-01-01 09:06:13.801,37.4672,137.4557,10.0,Shallow,4.6,Light,"55 km ENE of Anamizu, Japan"
2024-01-01 09:08:17.603,37.5146,137.4029,10.0,Shallow,5.6,Moderate,"54 km NE of Anamizu, Japan"
2024-01-01 09:14:15.490,37.4507,137.3198,9.917,Shallow,4.2,Light,"44 km ENE of Anamizu, Japan"
2024-01-01 09:23:07.666,37.52,137.3328,10.0,Shallow,4.4,Light,"49 km NE of Anamizu, Japan"
2024-01-01 09:25:26.703,37.553,137.3241,10.092,Shallow,4.1,Light,"51 km NE of Anamizu, Japan"
2024-01-01 09:30:21.401,37.4998,137.3585,10.0,Shallow,5.2,Moderate,"50 km NE of Anamizu, Japan"
2024-01-01 09:39:59.811,37.1479,136.6562,10.0,Shallow,5.0,Moderate,"23 km WSW of Anamizu, Japan"
2024-01-01 09:45:26.217,37.8107,137.5664,10.0,Shallow,5.1,Moderate,"73 km WSW of Sado, Japan"
2024-01-01 09:49:15.275,37.5516,137.3728,10.0,Shallow,4.6,Light,"54 km NE of Anamizu, Japan"
2024-01-01 09:56:12.530,37.3871,136.9994,10.0,Shallow,4.3,Light,"19 km NNE of Anamizu, Japan"
2024-01-01 10:06:54.649,37.8468,137.6625,10.0,Shallow,4.6,Light,"64 km WSW of Sado, Japan"
2024-01-01 10:27:58.814,37.45,137.1951,10.0,Shallow,4.2,Light,"35 km NE of Anamizu, Japan"
2024-01-01 10:50:35.645,37.5375,137.2865,10.0,Shallow,4.7,Light,"48 km NE of Anamizu, Japan"
