date,GOOG,AAPL,AMZN,FB,NFLX,MSFT
2018-01-01,1.0,1.0,1.0,1.0,1.0,1.0
2018-01-08,1.02,1.01,1.06,0.96,1.05,1.02
2018-01-15,1.03,1.02,1.05,0.97,1.05,1.02
2018-01-22,1.07,0.98,1.14,1.02,1.31,1.07
2018-01-29,1.01,0.92,1.16,1.02,1.27,1.04
2018-02-05,0.94,0.89,1.09,0.94,1.19,1.0
2018-02-12,0.99,0.99,1.18,0.95,1.33,1.04
2018-02-19,1.02,1.0,1.22,0.98,1.36,1.07
2018-02-26,0.98,1.01,1.22,0.95,1.43,1.06
2018-03-05,1.05,1.03,1.28,0.99,1.58,1.09
2018-03-12,1.03,1.02,1.28,0.99,1.52,1.07
2018-03-19,0.93,0.94,1.22,0.85,1.43,0.99
2018-03-26,0.94,0.96,1.18,0.86,1.41,1.03
2018-04-02,0.91,0.96,1.14,0.84,1.38,1.02
2018-04-09,0.93,1.0,1.16,0.88,1.48,1.06
2018-04-16,0.97,0.95,1.24,0.89,1.56,1.08
2018-04-23,0.93,0.93,1.28,0.93,1.48,1.09
2018-04-30,0.95,1.05,1.29,0.95,1.52,1.08
2018-05-07,1.0,1.08,1.3,1.0,1.55,1.11
2018-05-14,0.97,1.06,1.28,0.98,1.54,1.09
2018-05-21,0.98,1.08,1.31,0.99,1.67,1.12
2018-05-28,1.02,1.09,1.34,1.04,1.71,1.14
2018-06-04,1.02,1.1,1.37,1.01,1.72,1.15
2018-06-11,1.05,1.08,1.4,1.05,1.87,1.14
2018-06-18,1.05,1.06,1.4,1.08,1.96,1.14
2018-06-25,1.01,1.06,1.38,1.04,1.86,1.12
2018-07-02,1.03,1.07,1.39,1.09,1.94,1.15
2018-07-09,1.08,1.09,1.48,1.11,1.88,1.2
2018-07-16,1.08,1.09,1.48,1.12,1.72,1.21
2018-07-23,1.12,1.09,1.48,0.94,1.69,1.22
2018-07-30,1.11,1.19,1.48,0.95,1.63,1.23
2018-08-06,1.12,1.19,1.53,0.96,1.65,1.24
2018-08-13,1.09,1.24,1.53,0.93,1.51,1.22
2018-08-20,1.11,1.24,1.55,0.93,1.71,1.23
2018-08-27,1.11,1.3,1.64,0.94,1.75,1.27
2018-09-03,1.06,1.26,1.59,0.87,1.66,1.23
2018-09-10,1.06,1.28,1.6,0.87,1.74,1.29
2018-09-17,1.06,1.24,1.56,0.87,1.72,1.3
2018-09-24,1.08,1.29,1.63,0.88,1.78,1.3
2018-10-01,1.05,1.28,1.54,0.84,1.67,1.27
2018-10-08,1.01,1.27,1.46,0.82,1.62,1.24
2018-10-15,0.99,1.25,1.44,0.82,1.58,1.23
2018-10-22,0.97,1.24,1.34,0.78,1.43,1.21
2018-10-29,0.96,1.19,1.36,0.8,1.47,1.2
2018-11-05,0.97,1.17,1.39,0.78,1.45,1.24
2018-11-12,0.96,1.11,1.3,0.75,1.36,1.23
2018-11-19,0.93,0.98,1.22,0.71,1.23,1.17
2018-11-26,0.99,1.02,1.38,0.75,1.36,1.26
2018-12-03,0.94,0.96,1.33,0.74,1.26,1.19
2018-12-10,0.95,0.95,1.3,0.77,1.27,1.2
2018-12-17,0.89,0.86,1.12,0.67,1.17,1.11
2018-12-24,0.94,0.89,1.2,0.71,1.22,1.14
2018-12-31,0.97,0.85,1.28,0.74,1.42,1.16
2019-01-07,0.96,0.87,1.33,0.77,1.61,1.17
2019-01-14,1.0,0.9,1.38,0.8,1.61,1.22
2019-01-21,0.99,0.9,1.36,0.8,1.61,1.22
2019-01-28,1.01,0.95,1.32,0.89,1.62,1.17
2019-02-04,0.99,0.97,1.29,0.9,1.66,1.2
